p_value,run,p_value_constrained,type,nu2,sigma_constrained,nu1,alpha_constrained,x_min,alpha,sigma
0.7588,25,0.0312,control,0.4,0.0580881731075,0.0,2.48551346313,4.0,2.74985203541,0.120751262358
0.8116,26,0.8244,control,0.4,0.0604487792311,0.0,2.53996156995,2.0,2.53996156995,0.0604487792311
0.2316,27,0.02,control,0.4,0.0580595755099,0.0,2.51289484611,4.0,2.79299553001,0.122854029393
0.006,28,0.0284,control,0.4,0.0584534507802,0.0,2.49827950718,2.0,2.49827950718,0.0584534507802
0.61,29,0.0204,control,0.4,0.0581337405575,0.0,2.50138193167,4.0,2.78236536883,0.122413356113
0.0228,30,0.0592,control,0.4,0.057623224409,0.0,2.48931233869,2.0,2.48931233869,0.057623224409
0.3472,31,0.0052,control,0.4,0.0587227631086,0.0,2.49252887342,3.0,2.66879463375,0.0907704616869
0.0788,32,0.118,control,0.4,0.0585859324266,0.0,2.52210717357,2.0,2.52210717357,0.0585859324266
0.448,33,0.0308,control,0.4,0.059303950801,0.0,2.52700476062,3.0,2.67015363727,0.0911143507739
0.6852,34,0.724,control,0.4,0.0595580857558,0.0,2.54277286191,2.0,2.54277286191,0.0595580857558
0.1032,35,0.1432,control,0.4,0.0596180824792,0.0,2.56717331177,2.0,2.56717331177,0.0596180824792
0.056,36,0.0,control,0.4,0.0570463503896,0.0,2.48430174992,3.0,2.71018344695,0.0897613521327
0.962,37,0.9592,control,0.4,0.0597946484161,0.0,2.54427710795,2.0,2.54427710795,0.0597946484161
0.5328,38,0.5536,control,0.4,0.0601026341491,0.0,2.56958808698,2.0,2.56958808698,0.0601026341491
0.6692,39,0.0136,control,0.4,0.0593428888818,0.0,2.50712245927,4.0,2.76214104734,0.12102434401
0.154,40,0.0224,control,0.4,0.0579216370981,0.0,2.47558141512,3.0,2.61898413405,0.0880611276785
0.6528,41,0.066,control,0.4,0.0598036974167,0.0,2.50937708249,3.0,2.63156632277,0.0907827786346
0.348,42,0.3836,control,0.4,0.0604750263832,0.0,2.56418863247,2.0,2.56418863247,0.0604750263832
0.2852,43,0.0732,control,0.4,0.0584479423721,0.0,2.5140160766,3.0,2.63333843911,0.0887107669182
0.042,44,0.0712,control,0.4,0.0568425647696,0.0,2.45809765708,2.0,2.45809765708,0.0568425647696
0.6912,45,0.6924,control,0.4,0.0611948456484,0.0,2.57093259539,2.0,2.57093259539,0.0611948456484
0.66,46,0.002,control,0.4,0.0598588848662,0.0,2.55171964526,3.0,2.75376222084,0.0945565219065
0.892,47,0.0364,control,0.4,0.0579299357746,0.0,2.47919981854,4.0,2.73823972603,0.11854696538
0.688,48,0.0,control,0.4,0.0581988954222,0.0,2.52765171886,3.0,2.77065753304,0.0929354184855
