f_exp_all,f_pv_all,f_exp,f_pv,f_kmin,00_exp_all,00_pv_all,00_exp,00_pv,00_kmin,02_exp_all,02_pv_all,02_exp,02_pv,02_kmin,04_exp_all,04_pv_all,04_exp,04_pv,04_kmin,06_exp_all,06_pv_all,06_exp,06_pv,06_kmin,08_exp_all,08_pv_all,08_exp,08_pv,08_kmin,10_exp_all,10_pv_all,10_exp,10_pv,10_kmin
1.7563979785,0.2256,2.3709825512,0.7692,3,1.887356737,0.002,2.8246853365,0.502,3,1.8471341582,0.0012,2.9383229569,0.9728,4,1.8210615274,0.122,2.774585338,0.2472,4,1.7897081293,0.0564,2.6520907842,0.4516,4,1.7699881608,0.0208,2.7792183465,0.66,8,1.749204934,0.0072,2.5332215498,0.88,4
1.7395213791,0.3112,2.6386486328,0.7756,5,1.8878246074,0.026,2.455999286,0.0968,2,1.8506447182,0.0224,2.695361518,0.7732,3,1.8241021836,0.0328,2.7170879635,0.6336,4,1.7972919102,0.0888,2.4670347245,0.82,3,1.7755735822,0.0172,2.5407936922,0.842,4,1.7525467876,0.034,2.5872300173,0.9668,5
1.7387492355,0.1464,2.6405573327,0.946,5,1.8893598018,0.044,2.7691346261,0.23,3,1.8512783877,0.0436,2.9694000464,0.2436,4,1.8073875216,0.002,2.6313127977,0.5108,3,1.7898273228,0.1036,2.9712804419,0.524,6,1.7719142097,0.0052,2.4113787046,0.9328,3,1.7501634659,0.1344,2.1538007889,0.1544,2
1.7450294352,0.1248,2.4221290731,0.9884,3,1.8921138378,0.1032,2.947148299,0.9812,4,1.8434767489,0.022,2.67708676,0.5668,3,1.8138384317,0.0224,2.7492535909,0.9632,4,1.7924833436,0.3776,2.4400693696,0.132,3,1.7740577611,0.2196,2.7127394047,0.79,5,1.7514285887,0.022,2.5110444145,0.9252,4
1.7575037826,0.706,2.1273008429,0.7716,2,1.8910064915,0.0924,2.7479703378,0.5016,3,1.8441886726,0.066,2.9079175067,0.8872,4,1.8215139598,0.0612,2.3195740993,0.2724,2,1.7939860226,0.344,2.7545931499,0.8076,5,1.7711423459,0.1044,2.7480308233,0.9456,6,1.7583548036,0.1012,2.436817795,0.7972,4
1.7704177776,0.3204,2.5349513074,0.9932,4,1.8869302311,0.1432,3.5152672097,0.9672,6,1.8516005816,0.0092,2.9479720473,0.7836,4,1.8176259666,0.0472,2.892415892,0.902,5,1.7927108838,0.0768,2.4941921737,0.7872,3,1.7715453038,0.0704,2.5978896126,0.922,4,1.7527515274,0.09,2.4971876064,0.2524,4
1.7297475773,0.1408,2.612823015,0.6668,5,1.8826921215,0.014,2.835612868,0.5956,3,1.8540131251,0.024,2.6233249955,0.8216,3,1.8194381157,0.0124,2.7614464731,0.9092,4,1.7971816193,0.0588,2.8116478309,0.726,5,1.7733805831,0.124,2.7948021317,0.8696,7,1.749144657,0.0244,2.625165523,0.9948,5
1.761193202,0.0984,2.5496431159,0.6488,4,1.8900166383,0.0088,2.5067937956,0.2452,2,1.8414680278,0.0232,2.6563972376,0.452,3,1.813508497,0.1088,2.7479237855,0.5752,4,1.7980316432,0.0084,2.6272301268,0.95,4,1.7748040914,0.398,2.5313845552,0.2236,4,1.7555197922,0.042,2.3542990082,0.7676,3
1.7431824719,0.3128,2.3564494168,0.9652,3,1.8962928603,0.2832,3.1321908956,0.9484,5,1.8472285683,0.0444,2.6831544767,0.976,3,1.8202091798,0.0584,2.7357168839,0.9628,4,1.7993354852,0.1612,2.5882737761,0.4284,4,1.7673887166,0.0476,2.7340636517,0.5988,5,1.7521788853,0.1708,2.3479922184,0.486,3
1.7501522789,0.6772,2.146190033,0.3328,2,1.8926503186,0.0564,3.0008281511,0.8908,4,1.8499887495,0.2044,3.1746620425,0.7164,6,1.8199568123,0.1132,2.5459974248,0.3792,3,1.7858555879,0.0016,2.7492939224,0.4704,4,1.7680212377,0.0376,2.447804633,0.186,3,1.7498585808,0.1096,2.4732257929,0.8384,4
1.7459281545,0.3288,2.3794882333,0.944,3,1.8867698844,0.0376,3.5762513573,0.7596,8,1.8525668059,0.0476,2.8908950671,0.9316,4,1.8248216759,0.344,2.3159529716,0.5008,2,1.7957287608,0.0584,2.6146958684,0.8672,4,1.7733824839,0.4244,2.978574636,0.3292,8,1.7579523386,0.1584,2.3428633979,0.412,3
1.7346160945,0.0444,2.3886506475,0.9976,3,1.8874428014,0.0172,3.0091777007,0.884,4,1.8411198458,0.0112,2.7200307176,0.9416,3,1.8187135539,0.1956,2.3281364045,0.2808,2,1.7940602924,0.03,2.5096088114,0.8904,3,1.775530727,0.3372,2.7493819008,0.7596,6,1.7483808697,0.0864,2.6525709102,0.9808,6
1.7636931222,0.4264,2.3162731258,0.71,3,1.8828865446,0.0108,3.0749107883,0.9112,4,1.8474749622,0.03,2.8862479052,0.9132,4,1.8158486039,0.0796,2.7561943607,0.7884,4,1.7848937268,0.0104,2.610983577,0.9472,4,1.7653705955,0.002,2.751261507,0.844,5,1.7534361339,0.1572,2.3413625855,0.2352,3
1.7346312743,0.1952,2.4815547031,0.9556,4,1.8882007762,0.0132,2.8196443069,0.6588,3,1.851032333,0.07,2.8250260479,0.7928,4,1.8194988143,0.1372,2.5810604542,0.3856,3,1.7938302955,0.4668,3.1248654019,0.8968,8,1.7719607998,0.2068,2.401798581,0.3272,3,1.753204408,0.0464,2.380655637,0.8348,3
1.762170751,0.5888,2.3259815033,0.5256,3,1.8908147139,0.0012,2.9831789286,0.9296,4,1.8476205392,0.012,2.8973027869,0.8536,4,1.8221871086,0.096,2.7940486086,0.4452,4,1.7920966273,0.1016,2.4566170864,0.6752,3,1.7698028193,0.146,2.6892470698,0.9804,6,1.75662311,0.1748,2.6576437558,0.6132,6
1.7651615471,0.102,2.4570265993,0.6664,3,1.8911560884,0.0556,2.7626332589,0.2984,3,1.8454283554,0.0056,2.8202159142,0.5572,3,1.8217683141,0.202,3.2822558862,0.9312,8,1.7943587375,0.1504,2.4836727578,0.7828,3,1.7706021947,0.0056,2.4254074603,0.2944,3,1.7469253642,0.0148,2.6359200941,0.5156,5
1.739847633,0.1692,2.4046236542,0.8796,3,1.8905856368,0.0352,2.7915484682,0.2588,3,1.852594369,0.2732,3.1322036854,0.946,5,1.8137535309,0.076,2.6017373433,0.4612,3,1.7926837578,0.0428,2.7588226272,0.9772,5,1.7759496279,0.0612,2.2611763871,0.5652,2,1.7507848471,0.0172,2.5350514263,0.6868,4
