onb,nu1,nu2,exp_all,pv_all,exp,pv,kmin
TRUE,0,0.4,1.8953752392,0.0196,2.9792102948,0.6676,4
TRUE,0,0.4,1.8835714386,0.0128,2.5146489855,0.4008,2
TRUE,0,0.4,1.888494358,0.024,2.9975732498,0.968,4
TRUE,0,0.4,1.8824606484,0.0008,3.1452612256,0.7172,4
TRUE,0,0.4,1.8890554203,0.0484,4.0528537848,0.6348,8
TRUE,0,0.4,1.8854600706,0.0068,2.7571965841,0.5148,3
TRUE,0,0.4,1.8867553403,0.0524,3.2159315119,0.8668,5
TRUE,0,0.4,1.8879681694,0.008,2.863252632,0.1104,3
TRUE,0,0.4,1.8748616797,0.0028,3.1462239042,0.2728,4
TRUE,0,0.4,1.8906290789,0.04,3.0522086884,0.9584,4
TRUE,0,0.4,1.8906676899,0.0192,2.8599310524,0.2792,3
TRUE,0,0.4,1.8935344883,0.122,2.7797457222,0.376,3
TRUE,0,0.4,1.8855781775,0.034,3.1260108593,0.8784,4
TRUE,0,0.4,1.8870039606,0.068,3.512211231,0.5244,6
TRUE,0,0.4,1.883266137,0.0196,2.8249763692,0.2816,3
TRUE,0,0.4,1.8922518721,0.02,3.1883196238,0.9876,6
TRUE,0,0.4,1.8867575548,0.0356,2.8007153544,0.7036,3
TRUE,0,0.4,1.8857109083,0.0328,3.0199827956,0.7324,4
TRUE,0,0.4,1.8878399769,0.0292,2.9907367922,0.5884,4
TRUE,0,0.4,1.8858780264,0.0372,2.9818043306,0.9556,4
TRUE,0,0.4,1.8873713378,0.0712,3.1757745884,0.412,5
TRUE,0,0.4,1.8811826815,0.004,2.808599758,0.8968,3
TRUE,0,0.4,1.8880628767,0.0136,2.8141841343,0.762,3
TRUE,0,0.4,1.8931123941,0.0884,2.9740398986,0.9792,4
TRUE,0,0.4,1.8859123467,0.052,2.809813432,0.6156,3
TRUE,0,0.4,1.8807155852,0.0016,2.8985524158,0.4652,3
TRUE,0,0.4,1.8816033407,0.0172,2.7844597489,0.3248,3
TRUE,0,0.4,1.8970661894,0.1084,2.9548635194,0.8008,4
TRUE,0,0.4,1.8876726775,0.054,3.3210453421,0.8792,6
TRUE,0,0.4,1.895582599,0.1416,2.6902732853,0.5892,3
TRUE,0,0.4,1.8811133457,0.0048,2.8134972548,0.516,3
TRUE,0,0.4,1.8892369575,0.1176,2.7677992348,0.4624,3
TRUE,0,0.4,1.8837560286,0.0108,3.1229889754,0.9212,4
TRUE,0,0.4,1.8875541018,0.0772,3.0277790519,0.336,4
TRUE,0,0.4,1.8806974417,0.0324,3.0651291146,0.3628,4
TRUE,0,0.4,1.8937011802,0.0148,2.7544252491,0.8828,3
TRUE,0,0.4,1.8790691489,0.006,2.8342151534,0.6804,3
TRUE,0,0.4,1.8865832603,0.0132,3.0639510372,0.9356,4
TRUE,0,0.4,1.8853582638,0.3064,3.3683760009,0.5212,5
TRUE,0,0.4,1.8835302831,0.0008,2.8156916398,0.5584,3
TRUE,0,0.4,1.8846572082,0.0036,2.8155765057,0.66,3
TRUE,0,0.4,1.8881559026,0.01,2.7943652607,0.3472,3
TRUE,0,0.4,1.8881784698,0.0448,3.2982386524,0.9024,6
TRUE,0,0.4,1.8883696418,0.1748,3.0960813134,0.48,4
TRUE,0,0.4,1.8899384528,0.0056,2.838682807,0.4228,3
TRUE,0,0.4,1.88990281,0.1364,2.7419279257,0.55,3
TRUE,0,0.4,1.8908358372,0.0064,2.959173161,0.9828,4
TRUE,0,0.4,1.8878392842,0.0316,3.0694362526,0.7396,4
TRUE,0,0.4,1.8829048364,0.0732,3.3055349254,0.9868,5
TRUE,0,0.4,1.8891915257,0.0364,2.7911775033,0.9756,3
TRUE,0,0.4,1.8866900295,0.0044,3.0517922198,0.7888,4
TRUE,0,0.4,1.8830833814,0.0044,3.1086839549,0.9868,4
TRUE,0,0.4,1.8897400211,0.0176,3.1050504302,0.9984,5
TRUE,0,0.4,1.8816616664,0.0064,3.0559747939,0.8316,4
TRUE,0,0.6,1.8856435681,0.282,3.2757431672,0.2632,5
TRUE,0,0.6,1.8891746344,0.0896,2.976949878,0.7104,4
TRUE,0,0.6,1.8853621397,0.0136,3.0642730847,0.494,4
TRUE,0,0.6,1.8819723581,0.0008,2.8374973681,0.7932,3
TRUE,0,0.6,1.8887017758,0.01,2.8675942977,0.7372,3
TRUE,0,0.6,1.8853327495,0.0456,2.7669786661,0.3252,3
TRUE,0,0.6,1.8860354886,0.0092,2.8971656725,0.4996,3
TRUE,0,0.6,1.8869391683,0.036,3.0320845571,0.8832,4
TRUE,0,0.6,1.887515903,0.0208,3.0942478958,0.53,4
TRUE,0,0.6,1.8918474303,0.0084,2.964603222,0.9184,4
TRUE,0,0.6,1.888453255,0.0064,2.8513008157,0.898,3
TRUE,0,0.6,1.8849245383,0,2.8807856304,0.8016,3
TRUE,0,0.6,1.8923180107,0.0092,2.9556970537,0.8472,4
TRUE,0,0.6,1.8854713937,0.1908,2.7704893635,0.1164,3
TRUE,0,0.6,1.8876186319,0.0208,3.6045943764,0.7544,10
TRUE,0,0.6,1.8803750081,0.0316,3.359760238,0.9988,5
TRUE,0,0.6,1.8842420771,0.0572,2.4928075248,0.1984,2
TRUE,0,0.6,1.8922036871,0.0032,2.7641094759,0.8868,3
TRUE,0,0.6,1.8940591578,0.6336,2.9827446357,0.3408,4
TRUE,0,0.6,1.8854828443,0.0072,3.1520041211,0.6412,4
TRUE,0,0.6,1.8844928773,0.0712,3.0876479133,0.7656,4
TRUE,0,0.6,1.8867923946,0.1456,3.2519034502,0.7016,5
TRUE,0,0.6,1.8770025987,0.0044,3.105677615,0.9136,4
TRUE,0,0.6,1.8882637461,0.0136,3.0777731186,0.9432,4
TRUE,0,0.6,1.8864671831,0.004,2.9751757047,0.8012,4
TRUE,0,0.6,1.8863467127,0.0044,2.8380328373,0.8136,3
TRUE,0,0.6,1.8842401313,0.0116,3.1786724729,0.9076,4
TRUE,0,0.6,1.8895186146,0.0636,3.0334527448,0.7844,4
TRUE,0,0.6,1.8929235708,0.1936,2.7540886952,0.4264,3
TRUE,0,0.6,1.8863682212,0.02,2.8032387571,0.3712,3
TRUE,0,0.6,1.8881991297,0.1048,3.2016579008,0.976,5
TRUE,0,0.6,1.8848245735,0.0168,3.05489783,0.9964,4
TRUE,0,0.6,1.8865858648,0.0676,3.0771174223,0.5728,4
TRUE,0,0.6,1.8814569208,0,3.160217205,0.7392,5
TRUE,0,0.6,1.8884687187,0.0084,3.0189550882,0.9648,4
TRUE,0,0.6,1.8892361862,0.0272,2.7672169828,0.7536,3
TRUE,0,0.6,1.8822674444,0.0092,2.8467618727,0.6792,3
TRUE,0,0.6,1.8932072928,0.2044,2.4425380675,0.1776,2
TRUE,0,0.6,1.886439057,0.0412,2.4757712208,0.1148,2
TRUE,0,0.6,1.8881817756,0.1416,3.0444283233,0.9756,4
TRUE,0,0.6,1.8876531642,0.0168,2.7980671268,0.6308,3
TRUE,0,0.6,1.8871350725,0.0008,3.0494420006,0.8556,5
TRUE,0,0.6,1.8833876399,0.0364,2.8093699876,0.2344,3
TRUE,0,0.6,1.8933293558,0.2288,3.129098884,0.726,5
TRUE,0,0.6,1.8866056378,0.0828,2.9677232915,0.6804,4
TRUE,0,0.6,1.8801183725,0.002,3.0558579062,0.9936,4
TRUE,0,0.6,1.8886307833,0.0624,2.8040770704,0.5896,3
TRUE,0,0.6,1.8836277946,0.004,3.000818933,0.998,4
TRUE,0,0.6,1.8823058217,0.006,2.8963993052,0.1716,3
TRUE,0,0.6,1.8887218865,0.0088,3.0101686912,0.9932,4
TRUE,0,0.6,1.8882369707,0.0168,2.7932979435,0.5196,3
TRUE,0,0.6,1.888545744,0.0428,2.930669761,0.8944,4
TRUE,0,0.6,1.8800492407,0.0068,3.081005829,0.8316,4
TRUE,0,0.6,1.8866088052,0.0624,3.2221981361,0.954,5
TRUE,0,0.6,1.8800649174,0.0076,2.8788601457,0.4164,3
TRUE,0,0.6,1.8882878535,0.0384,3.0580558479,0.9668,4
TRUE,0,0.6,1.8923286514,0.0344,2.9177481378,0.9352,4
TRUE,0,0.6,1.8897672832,0.026,2.7869344023,0.7276,3
TRUE,0,0.6,1.8842540586,0.0316,3.0465995303,0.8756,4
TRUE,0,0.6,1.8793951171,0.0068,3.1163342032,0.7488,4
TRUE,0,0.6,1.8859275079,0.0084,3.081896908,0.7672,4
TRUE,0,0.6,1.8896973969,0.0124,2.7326595766,0.7828,3
TRUE,0,0.6,1.8863121815,0.1,3.0727068424,0.4512,4
TRUE,0,0.6,1.8882594531,0.0152,3.0252614238,0.6484,4
TRUE,0,0.6,1.8816134662,0.0292,2.7866170176,0.5612,3
TRUE,0,0.6,1.888268262,0.0268,3.0067335261,0.8464,4
TRUE,0,0.6,1.8887651774,0.0024,2.8178365121,0.738,3
TRUE,0,0.6,1.8825225033,0.0148,3.0819775521,0.8648,4
TRUE,0,0.6,1.8869770854,0.044,3.0939332706,0.8468,4
TRUE,0,0.6,1.8859401578,0.0124,3.1364961737,0.806,5
TRUE,0,0.6,1.8920621105,0.1932,2.7579612902,0.2388,3
TRUE,0,0.6,1.8859717869,0.0264,2.8170830212,0.234,3
TRUE,0,0.6,1.897462515,0.0916,2.7652231352,0.7884,3
TRUE,0,0.6,1.8869495303,0.0076,3.0334095729,0.9832,4
TRUE,0,0.6,1.8796826808,0.0628,2.7664794927,0.4228,3
TRUE,0,0.6,1.8814568282,0.0132,3.160765031,0.882,4
TRUE,0,0.6,1.8882380603,0.0432,3.0796231788,0.91,4
TRUE,0,0.6,1.887062359,0.0012,2.8630579141,0.9176,3
TRUE,0,0.6,1.8817515819,0.0288,3.3038549272,0.982,5
TRUE,0,0.6,1.8869235904,0.004,2.7397371883,0.8252,3
TRUE,0,0.6,1.8901721938,0.0152,3.1706389204,0.9172,5
TRUE,0,0.6,1.8909119826,0.2224,3.0826729116,0.8504,4
TRUE,0,0.6,1.8921895592,0.0324,2.7905906212,0.3752,3
TRUE,0,0.6,1.8862879424,0.0292,3.0757966599,0.864,4
TRUE,0,0.6,1.8897145045,0.0184,2.7763661378,0.3128,3
TRUE,0,0.6,1.8929332531,0.012,2.7660318914,0.8616,3
TRUE,0,0.6,1.8895379396,0.0152,2.8383267836,0.3368,3
